LOCATION,latitude,longitude,incidence,RISK,100,cfr,Z,NEW CASES,TOTAL CASES,NEW DEATHS,TOTAL DEATHS,rank
Phillips|Colorado|US,40.59414277,-102.3577703,445.4865182,0,0,0,0,0,19,0,0,1
Prowers|Colorado|US,37.95544985,-102.3926052,386.1321065,0,0,0,0,0,76,0,0,1
Routt|Colorado|US,40.48596505,-106.9905548,382.2451049,0,0,6.153846154,0,-1,130,0,8,1
Saguache|Colorado|US,38.08054629,-106.282466,1567.995311,0,0,1.851851852,0,0,108,0,2,1
San Juan|Colorado|US,37.76248981,-107.6763289,274.7252747,0,0,0,0,0,2,0,0,1
San Miguel|Colorado|US,38.00450883,-108.4020725,892.5296491,0,0,0,0,0,93,0,0,1
Unassigned|Colorado|US, nil, nil,#N/A,0,0,0,0,0,0,0,0,1
Yuma|Colorado|US,40.00346839,-102.4258673,568.9190538,0,0,0,0,0,63,0,0,1
Fairfield|Connecticut|US,41.26809896,-73.3881171,1885.444361,0,0,7.654334382,0,0,18434,0,1411,1
Hartford|Connecticut|US,41.80283011,-72.73103891,1408.626026,0,0,10.93677896,0,0,13002,0,1422,1
Litchfield|Connecticut|US,41.7937534,-73.2451475,886.6929514,0,0,8.449848024,0,0,1645,0,139,1
Middlesex|Connecticut|US,41.45949668,-72.53714864,847.718486,0,0,13.46423562,0,0,1426,0,192,1
New Haven|Connecticut|US,41.4080325,-72.93620426,1522.420992,0,0,8.265139116,0,0,13442,0,1111,1
New London|Connecticut|US,41.48896435,-72.10430976,526.3832643,0,0,6.976744186,0,0,1505,0,105,1
Tolland|Connecticut|US,41.85853803,-72.3308481,670.7758043,0,0,6.001846722,0,0,1083,0,65,1
Unassigned|Connecticut|US, nil, nil,#N/A,0,0,0,0,0,214,0,0,1
Windham|Connecticut|US,41.82972709,-71.98182316,586.5629977,0,0,1.953125,0,0,768,0,15,1
Diamond Princess|US,35.4437,139.638,#N/A,0,0,0,0,0,49,0,0,1
Baker|Georgia|US,31.32669878,-84.44218806,1810.40158,0,0,4.166666667,0,-1,72,0,3,1
Clay|Georgia|US,31.62221166,-84.97713865,2470.007057,0,0,1.851851852,0,0,108,0,2,1
Irwin|Georgia|US,31.60213036,-83.27501387,1593.033135,0,0,1.030927835,0,0,194,0,2,1
Jasper|Georgia|US,33.31535543,-83.68844964,843.9412054,0,0,1.069518717,0,0,187,0,2,1
Jenkins|Georgia|US,32.79248718,-81.96040187,2570.308898,0,0,8.480565371,0,0,283,0,24,1
Johnson|Georgia|US,32.70211082,-82.66166794,2239.966815,0,0,4.593639576,0,0,283,0,13,1
Lanier|Georgia|US,31.0382857,-83.06472457,1985.992517,0,0,2.057613169,0,0,243,0,5,1
Marion|Georgia|US,32.3483402,-84.52733571,1567.173107,0,0,3.048780488,0,0,164,0,5,1
Out of GA|Georgia|US, nil, nil,#N/A,0,0,0.669140459,0,-22,16439,1,110,1
Quitman|Georgia|US,31.86728114,-85.01773177,1261.418008,0,0,3.125,0,0,32,0,1,1
Seminole|Georgia|US,30.93464824,-84.86823924,1594.561187,0,0,3.088803089,0,0,259,0,8,1
Talbot|Georgia|US,32.69642758,-84.53351366,1985.472155,0,0,3.289473684,0,0,152,0,5,1
Taliaferro|Georgia|US,33.56543317,-82.88136816,585.5562785,0,0,0,0,0,18,0,0,1
Telfair|Georgia|US,31.92829517,-82.93491155,1488.020177,0,0,3.692307692,0,0,325,0,12,1
Terrell|Georgia|US,31.77527543,-84.44069698,3375.923104,0,0,9.708737864,0,0,309,0,30,1
Turner|Georgia|US,31.71612656,-83.62069378,2705.07201,0,0,6.95970696,0,0,273,1,19,1
Unassigned|Georgia|US, nil, nil,#N/A,0,0,0.148975791,0,-4,2685,-2,4,1
Warren|Georgia|US,33.41146451,-82.67795848,951.6558812,0,0,2.727272727,0,0,110,0,3,1
Webster|Georgia|US,32.04066113,-84.54742852,1380.897583,0,0,5.263157895,0,0,38,0,2,1
Wilkes|Georgia|US,33.78290391,-82.74286107,1728.546589,0,0,1.428571429,0,0,210,0,3,1
Grand Princess|US,37.6489,-122.6655,#N/A,0,0,2.912621359,0,0,103,0,3,1
Guam|US,13.4443,144.7937,216.7704851,0,0,0.782268579,0,0,767,0,6,1
Kauai|Hawaii|US,22.03935037,-159.5966786,65.01321013,0,0,0,0,0,56,0,0,1
Out of HI|Hawaii|US, nil, nil,#N/A,0,0,4.347826087,0,0,23,0,1,1
Unassigned|Hawaii|US, nil, nil,#N/A,0,0,0,0,0,0,0,0,1
Bannock|Idaho|US,42.67002716,-112.2233311,340.5156706,0,0,0.35971223,0,0,556,0,2,1
Bear Lake|Idaho|US,42.28269683,-111.3289238,#N/A,0,0,0,0,0,25,0,0,1
Boise|Idaho|US,43.98829931,-115.7309284,446.9416422,0,0,1.754385965,0,0,57,0,1,1
Bonner|Idaho|US,48.29996017,-116.6017932,312.6434771,0,0,0,0,0,196,0,0,1
Boundary|Idaho|US,48.76684761,-116.4630179,269.4977542,0,0,0,0,0,42,0,0,1
Butte|Idaho|US,43.72592209,-113.1735463,#N/A,0,0,0,0,0,4,0,0,1
